Sample_id,HRD_LOH,Telomeric_AI,LST,HRD-sum
trio01_posttumour,1,2,0,3
trio06_posttumour,0,0,0,0
trio07_posttumour,2,8,0,10
trio08_posttumour,0,0,0,0
trio09_posttumour,0,2,1,3
trio10_posttumour,1,7,1,9
trio28_posttumour,0,0,0,0
trio27_posttumour,18,27,12,57
trio23_posttumour,6,8,4,18
trio05_posttumour,0,0,0,0
trio22_posttumour,0,1,0,1
trio19_posttumour,7,18,12,37
trio25_posttumour,1,11,4,16
trio24_posttumour,6,21,16,43
trio21_posttumour,1,1,1,3
trio16_posttumour,0,1,0,1
trio18_posttumour,0,0,0,0
trio17_posttumour,10,9,4,23
trio15_posttumour,13,21,11,45
trio14_posttumour,0,0,0,0
trio13_posttumour,11,21,13,45
trio12_posttumour,0,0,0,0
trio11_posttumour,10,19,13,42
trio30_posttumour,0,3,1,4
