SampleID,WGD
trio01_posttumour,False
trio06_posttumour,False
trio07_posttumour,False
trio08_posttumour,False
trio09_posttumour,False
trio10_posttumour,False
trio28_posttumour,False
trio27_posttumour,False
trio23_posttumour,True
trio05_posttumour,False
trio22_posttumour,False
trio19_posttumour,True
trio25_posttumour,False
trio24_posttumour,True
trio21_posttumour,False
trio16_posttumour,False
trio18_posttumour,False
trio17_posttumour,True
trio15_posttumour,True
trio14_posttumour,False
trio13_posttumour,True
trio12_posttumour,False
trio11_posttumour,True
trio30_posttumour,False
