sample	Nonsynonymous	Synonymous
TCGA-4H-AAAK-01A-12D-A41F-09	0.29773245473809196	0.049622075789681995
TCGA-5L-AAT0-01A-12D-A41F-09	1.8856388800079158	0.8435752884245938
TCGA-5L-AAT1-01A-12D-A41F-09	14.803919277255128	5.342643493355761
TCGA-A1-A0SD-01A-11D-A10Y-09	0.4796800659669259	0.09924415157936399
TCGA-A1-A0SE-01A-11D-A099-09	0.41351729824734995	0.14886622736904598
TCGA-A1-A0SF-01A-11D-A142-09	0.6285462933359719	0.18194761122883396
TCGA-A1-A0SG-01A-11D-A142-09	0.3638952224576679	0.08270345964946998
TCGA-A1-A0SH-01A-11D-A099-09	1.2736332786018378	0.43005799017724394
TCGA-A1-A0SI-01A-11D-A142-09	2.4976444814139938	0.9262787480740639
TCGA-A1-A0SN-01A-11D-A142-09	0.8931973642142759	0.18194761122883396
TCGA-A1-A0SO-01A-22D-A099-09	4.350201977562121	1.0420635915833218
TCGA-A2-A04N-01A-11D-A10Y-09	0.5127614498267139	0.19848830315872798
TCGA-A2-A04U-01A-11D-A10Y-09	0.8104939045648059	0.18194761122883396
TCGA-A2-A04W-01A-31D-A10Y-09	1.8029354203584458	0.612005601406078
TCGA-A2-A0CK-01A-11D-A228-09	0.21502899508862197	0.16540691929893997
TCGA-A2-A0CS-01A-11D-A10Y-09	0.5458428336865019	0.19848830315872798
TCGA-A2-A0CW-01A-21D-A10Y-09	0.7608718287751239	0.132325535439152
TCGA-A2-A0D3-01A-11D-A10Y-09	0.31427314666798595	0.132325535439152
TCGA-A2-A0EN-01A-13D-A099-09	0.41351729824734995	0.066162767719576
TCGA-A2-A0EP-01A-52D-A22X-09	0.21502899508862197	0.016540691929894
TCGA-A2-A0ES-01A-11D-A10Y-09	0.16540691929893997	0.08270345964946998
TCGA-A2-A0EW-01A-21D-A10Y-09	0.24811037894840995	0.016540691929894
TCGA-A2-A0ST-01A-12D-A099-09	0.21502899508862197	0.132325535439152
TCGA-A2-A0SU-01A-11D-A099-09	0.43005799017724394	0.132325535439152
TCGA-A2-A0SX-01A-12D-A099-09	0.34735453052777393	0.14886622736904598
TCGA-A2-A0SY-01A-31D-A099-09	1.6871505768491877	0.6781683691256539
TCGA-A2-A0T0-01A-22D-A099-09	2.3487782540449476	0.612005601406078
TCGA-A2-A0T3-01A-21D-A10Y-09	0.4631393740370319	0.19848830315872798
TCGA-A2-A0T4-01A-31D-A099-09	0.3638952224576679	0.11578484350925798
TCGA-A2-A0T5-01A-21D-A099-09	0.264651070878304	0.0
TCGA-A2-A0T6-01A-11D-A099-09	0.19848830315872798	0.09924415157936399
TCGA-A2-A0T7-01A-21D-A099-09	0.28119176280819796	0.066162767719576
TCGA-A2-A0YC-01A-11D-A117-09	0.29773245473809196	0.033081383859788
TCGA-A2-A0YD-01A-11D-A10G-09	0.9097380561441699	0.34735453052777393
TCGA-A2-A0YE-01A-11D-A10G-09	0.3638952224576679	0.21502899508862197
TCGA-A2-A0YG-01A-21D-A10G-09	0.6781683691256539	0.23156968701851596
TCGA-A2-A0YH-01A-11D-A10G-09	1.0916856673730038	0.31427314666798595
TCGA-A2-A0YI-01A-31D-A10M-09	0.16540691929893997	0.08270345964946998
TCGA-A2-A0YJ-01A-11D-A10G-09	1.058604283513216	0.16540691929893997
TCGA-A2-A0YK-01A-22D-A117-09	4.6644751242301075	1.7698540364986577
TCGA-A2-A0YL-01A-21D-A10G-09	0.39697660631745596	0.21502899508862197
TCGA-A2-A0YM-01A-11D-A10G-09	1.058604283513216	0.33081383859787994
TCGA-A2-A0YT-01A-11D-A10G-09	0.7608718287751239	0.132325535439152
TCGA-A2-A1FV-01A-11D-A13L-09	0.5458428336865019	0.11578484350925798
TCGA-A2-A1FW-01A-11D-A13L-09	0.8601159803544879	0.41351729824734995
TCGA-A2-A1FX-01A-11D-A13L-09	0.34735453052777393	0.049622075789681995
TCGA-A2-A1FZ-01A-51D-A17G-09	0.39697660631745596	0.033081383859788
TCGA-A2-A1G0-01A-11D-A13L-09	0.28119176280819796	0.049622075789681995
TCGA-A2-A1G1-01A-21D-A13L-09	0.4962207578968199	0.132325535439152
TCGA-A2-A1G6-01A-11D-A13L-09	0.11578484350925798	0.049622075789681995
